SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,CAMPUS,,,INSTRUCTOR,TERM,SIZE,AVL
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,CAMPUS,,,INSTRUCTOR,TERM,SIZE,AVL
AAEC,6610L,Quant Methods Lab,,Agricultural and Applied Econ,,,,,,,
14475 0,A 1.0 - 1.0,M,02:30 pm-03:20 pm,1011 0204,Athens,,,Mullen,1,16,16
AAEC,6630,Quant Tools for Agribus Mgmt,,Agricultural and Applied Econ,,,,,,,
34066 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,1011 0202,Athens,,,Mullen,1,16,16
AAEC,6640,Food Marketing and Merchandis,,Agricultural and Applied Econ,,,,,,,
27654 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,1011 0311,Athens,,,Berning,1,15,15
AAEC,6730,Agribusiness Accounting,,Agricultural and Applied Econ,,,,,,,
34064 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,1011 0310,Athens,,,Escalante,1,20,20
AAEC,8010,Seminar Ag App Econ,,Agricultural and Applied Econ,,,,,,,
21013 0,A 1.0 - 1.0,W,03:35 pm-04:25 pm,1011 0210,Athens,,,Ferreira,1,60,60
AAEC,8140,Consumer Dem Thy,,Agricultural and Applied Econ,,,,,,,
34062 0,A 3.0 - 3.0,M W,11:15 am-12:30 pm,1011 0310,Athens,,,Smith,1,30,30
AAEC,8210,Macro Issues Ag/res,,Agricultural and Applied Econ,,,,,,,
10764 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,1011 0311,Athens,,,Dorfman,1,50,50
AAEC,8400,Ag Market Analysis,,Agricultural and Applied Econ,,,,,,,
34065 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,1011 0311,Athens,,,Karali,1,15,15
AAEC,8610,Advanced Econometric Apps,,Agricultural and Applied Econ,,,,,,,
27860 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,1011 0311,Athens,,,Shonkwiler,1,25,25
AAEC,8710,Adv Ag Dev and Gro,,Agricultural and Applied Econ,,,,,,,
20614 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,1011 0212,Athens,,,Magnan,1,20,20
ACCT,1160,Survey of Accounting,,School of Accounting,,,,,,,
13202 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0738B B012,Athens,,,Lark,1,50,50
ACCT,2101,Principles of Accounting I,,School of Accounting,,,,,,,
13213 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0055 0145,Athens,,,Bhandarkar,1,50,50
13232 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0055 0145,Athens,,,Bhandarkar,1,50,50
13333 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0066 S306,Athens,,,Bhandarkar,1,50,50
30833 0,A 3.0 - 3.0,T R,08:00 am-09:15 am,0055 0145,Athens,,,Christensen,1,50,50
34846 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0738A A015,Athens,,,,1,30,30
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,,,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
ACCT,2101H,Principles of Accounting I Hon,,School of Accounting,,,,,,,
13237 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0738B B002,,,Athens,Gaver,1,15,15
13245 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0738B B002,,,Athens,Gaver,1,15,15
ACCT,2102,Principles of Accounting II,,School of Accounting,,,,,,,
13246 0,A 3.0 - 3.0,M W,F 09:05 am-09:55 am,0081 0171,,,Athens,Farmer,1,50,50
13249 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,0081 0171,,,Athens,Farmer,1,50,50
31040 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,0081 0171,,,Athens,Farmer,1,50,50
ACCT,5000,Intermediate Accounting I,,School of Accounting,,,,,,,
13256 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0738C C010,,,Athens,Rivers,1,15,15
13258 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0738C C010,,,Athens,Rivers,1,15,15
13260 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0738C C010,,,Athens,Rivers,1,15,15
33940 0,C 3.0 - 3.0,M W,03:30 pm-04:45 pm,TBA TBA,,,Griffin,,1,0,0
ACCT,5001,Financial Report and Analysis,,School of Accounting,,,,,,,
31041 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0046 0G10,,,Athens,Hawk,1,15,15
34412 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0046 0G10,,,Athens,Hawk,1,15,15
34413 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0046 0G10,,,Athens,Hawk,1,15,15
34655 0,A 3.0 - 3.0,M W,02:00 pm-03:15 pm,TBA TBA,,,Griffin,Fortuna,1,20,20
ACCT,5001E,Financial Report and Analysis,,School of Accounting,,,,,,,
31612 0,C 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,,,Online,,S1,0,0
ACCT,5010,Intermed Acc II,,School of Accounting,,,,,,,
13289 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0738B B112,,,Athens,Resutek,1,15,15
13295 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0738B B112,,,Athens,Resutek,1,15,15
13297 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0738B B112,,,Athens,Resutek,1,15,15
ACCT,5020,Inter Acc III,,School of Accounting,,,,,,,
13299 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0738C C109,,,Athens,Campbell,1,15,15
13300 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0738C C109,,,Athens,Campbell,1,15,15
32039 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0738C C109,,,Athens,Campbell,1,15,15
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,,,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
ACCT,5100,Managerial Accounting I,,School of Accounting,,,,,,,
13269 0,A 3.0 - 3.0,M W,F 09:05 am-09:55 am,0046 0302,,,Athens,Matthews,1,15,15
13489 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,0046 0302,,,Athens,Matthews,1,15,15
13495 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,0046 0302,,,Athens,Matthews,1,15,15
ACCT,5200,Audit Risk and Cntrl,,School of Accounting,,,,,,,
13498 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0739 0222,,,Athens,Leiby,1,15,15
13499 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0739 0222,,,Athens,Leiby,1,15,15
13501 0,A 3.0 - 3.0,T R,08:00 am-09:15 am,0739 0222,,,Athens,Leiby,1,20,20
34847 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0738A A009,,,Athens,,1,30,30
ACCT,5310,Systems I,,School of Accounting,,,,,,,
13517 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0738C C101,,,Athens,Christ,1,15,15
13518 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0738C C101,,,Athens,Christ,1,15,15
13519 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0738C C101,,,Athens,Christ,1,15,15
ACCT,5400,Taxation I,,School of Accounting,,,,,,,
13475 0,A 3.0 - 3.0,T R,08:00 am-09:15 am,0738B B002,,,Athens,,1,20,20
33948 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0738C C014,,,Athens,,1,15,15
33949 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0739 0116,,,Athens,,1,15,15
ACCT,5410,Taxation II,,School of Accounting,,,,,,,
31476 0,A 3.0 - 3.0,M W,09:30 am-10:45 am,0739 0222,,,Athens,McGinty,1,5,5
31477 0,A 3.0 - 3.0,M W,11:00 am-12:15 pm,0739 0222,,,Athens,McGinty,1,5,5
ACCT,5710,Professional Accounting I,,School of Accounting,,,,,,,
13341 0,A 1.5 - 1.5,M,03:35 pm-04:50 pm,0738B B010,,,Athens,Czarick,1,120,120
ACCT,5720,Professional Accounting II,,School of Accounting,,,,,,,
13342 0,A 1.5 - 1.5,M,08:00 am-09:15 am,0739 0222,,,Athens,Czarick,1,50,50
13343 0,A 1.5 - 1.5,W,08:00 am-09:15 am,0739 0222,,,Athens,Czarick,1,50,50
13344 0,A 1.5 - 1.5,M,11:15 am-12:30 pm,0738C C115,,,Athens,Czarick,1,25,25
ACCT,6000,Fin Acc,,School of Accounting,,,,,,,
13758 B,A 3.0 - 3.0,M W,02:00 pm-03:15 pm,0739 0218,,,Athens,Matthews,1,40,40
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,,,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
ACCT,7005,Grad Student Sem,,School of Accounting,,,,,,,
13360 C1,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,,1,5,5
ACCT,7100,Managerial I,,School of Accounting,,,,,,,
13276 C1,A 3.0 - 3.0,M W,F 09:05 am-09:55 am,0046 0302,,,Athens,Matthews,1,1,1
13491 C2,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,0046 0302,,,Athens,Matthews,1,1,1
13497 C3,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,0046 0302,,,Athens,Matthews,1,1,1
ACCT,7200,Audit Risk and Cntrl,,School of Accounting,,,,,,,
13511 C1,A 3.0 - 3.0,T R,09:30 am-10:45 am,0739 0222,,,Athens,Leiby,1,1,1
13515 C3,A 3.0 - 3.0,T R,08:00 am-09:15 am,0739 0222,,,Athens,Leiby,1,2,2
ACCT,7310,Systems I,,School of Accounting,,,,,,,
13523 C1,A 3.0 - 3.0,T R,09:30 am-10:45 am,0738C C101,,,Athens,Christ,1,2,2
13524 C2,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0738C C101,,,Athens,Christ,1,2,2
13525 C3,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0738C C101,,,Athens,Christ,1,2,2
ACCT,7400,Taxation I,,School of Accounting,,,,,,,
13481 C1,A 3.0 - 3.0,T R,08:00 am-09:15 am,0738B B002,,,Athens,,1,1,1
34507 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0738C C014,,,Athens,,1,1,1
34508 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0739 0116,,,Athens,,1,1,1
ACCT,7410,Taxation II,,School of Accounting,,,,,,,
13362 C1,A 3.0 - 3.0,M W,11:00 am-12:15 pm,0739 0222,,,Athens,McGinty,1,20,20
13364 C2,A 3.0 - 3.0,M W,09:30 am-10:45 am,0739 0222,,,Athens,McGinty,1,20,20
ACCT,7415,Tax Policy,,School of Accounting,,,,,,,
13366 C1,A 3.0 - 3.0,M W,09:30 am-10:45 am,0739 0218,,,Athens,Chapman,1,25,25
27686 C3,A 3.0 - 3.0,M W,11:00 am-12:15 pm,0739 0218,,,Athens,Chapman,1,25,25
ACCT,7435,Cross-Jurisdictional Taxation,,School of Accounting,,,,,,,
31004 C1,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0739 0222,,,Athens,,1,20,20
ACCT,7440,Corporate Tax I,,School of Accounting,,,,,,,
13369 C,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0739 0222,,,Athens,,1,25,25
31005 C1,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0739 0222,,,Athens,,1,25,25
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,,CAMPUS,,INSTRUCTOR,TERM,SIZE,AVL
ACCT,7605,Advanced Acct,,School of Accounting,,,,,,,
33866 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0739 0218,,Athens,,Lark,1,25,25
33867 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0739 0218,,Athens,,Lark,1,25,25
ACCT,7620,Audit II,,School of Accounting,,,,,,,
13373 C2,A 3.0 - 3.0,M W,12:30 pm-01:45 pm,0739 0222,,Athens,,Hammersley,1,25,25
13374 C3,A 3.0 - 3.0,M W,02:00 pm-03:15 pm,0739 0222,,Athens,,Hammersley,1,25,25
ACCT,7630,Systems II,,School of Accounting,,,,,,,
29636 C,A 3.0 - 3.0,T R,08:00 am-09:15 am,0738C C101,,Athens,,Hawk,1,20,20
ACCT,7640,Accounting Research and Pract,,School of Accounting,,,,,,,
33868 0,A 3.0 - 3.0,T R,08:00 am-09:15 am,0739 0218,,Athens,,Keadle,1,20,20
33869 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0739 0218,,Athens,,Keadle,1,20,20
ACCT,7650,Special Topics in Accounting,,School of Accounting,,,,,,,
13516 C,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0739 0218,,Athens,,Lark,1,30,30
31108 C3,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0046 0G10,,Athens,,Hawk,1,10,10
ACCT,7800,Grad Intern in Acct,,School of Accounting,,,,,,,
13286 C,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,,Athens,,,1,5,5
ACCT,7999,Direct Sty Acc,,School of Accounting,,,,,,,
13467 C,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR NCRR,,Athens,,,1,5,5
ADPR,3100,Principles of Advertising,,Advertising and Pub Relations,,,,,,,
10571 0,A 3.0 - 3.0,M W,F 12:20 pm-01:10 pm,0081 0102,,Athens,,Evans,1,300,300
ADPR,3110,Advertising Message Strategy,,Advertising and Pub Relations,,,,,,,
10573 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0062 0204,,Athens,,Strausbaugh-Hutchinson 1,,20,20
10575 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,0062 0204,,Athens,,Griffith,1,20,20
10578 0,A 3.0 - 3.0,M W,F 02:30 pm-03:20 pm,0062 0204,,Athens,,Griffith,1,20,20
10608 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0062 0204,,Athens,,Deal,1,20,20
10612 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0062 0204,,Athens,,Deal,1,20,20
ADPR,3120,Media Planning,,Advertising and Pub Relations,,,,,,,
10621 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0081 0153,,Athens,,King,1,44,44
10623 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0081 0147,,Athens,,Lin,1,44,44
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,CAMPUS,,,INSTRUCTOR,TERM,SIZE,AVL
ADPR,3120,Media Planning,,Advertising and Pub Relations,,,,,,,
