SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,CAMPUS,,,INSTRUCTOR,TERM,SIZE,AVL
27864 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0062 0511,,,Athens,,1,30,30
30321 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0058 0309,,,Athens,Huggins,1,30,30
30322 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0130 0100,,,Athens,Huggins,1,30,30
30323 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0053 0230,,,Athens,,1,30,30
30324 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,0053 0341,,,Athens,Schaller,1,30,30
30329 0,A 3.0 - 3.0,,F 11:15 am-12:05 pm,0250 0117,,,Athens,Harris,1,30,30
0,A 3.0 - 3.0,M W,09:05 am-09:55 am,0055 0145,,,Athens,Harris,1,30,30
30330 0,A 3.0 - 3.0,,F 03:35 pm-04:25 pm,0640 0320,,,Athens,Harris,1,30,30
0,A 3.0 - 3.0,M W,09:05 am-09:55 am,0055 0145,,,Athens,Harris,1,30,30
30331 0,A 3.0 - 3.0,,F 08:00 am-08:50 am,0050 0G41,,,Athens,Harris,1,30,30
0,A 3.0 - 3.0,M W,09:05 am-09:55 am,0055 0145,,,Athens,Harris,1,30,30
30547 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,0058 0212,,,Athens,Schaller,1,30,30
30548 0,A 3.0 - 3.0,M W,F 12:20 pm-01:10 pm,0046 0502,,,Athens,,1,30,30
30549 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0062 0516,,,Athens,,1,30,30
30550 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0130 0100,,,Athens,Huggins,1,30,30
COMM,2150H,Pers Public Comm,,Communication Studies,,,,,,,
16774 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0042 0219,,,Athens,Panetta,1,20,20
COMM,2360,Rhet and Pop Culture,,Communication Studies,,,,,,,
16817 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,0056 0265,,,Athens,Stahl,1,100,100
COMM,2550H,Persp Interp Commun,,Communication Studies,,,,,,,
17096 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0046 0502,,,Athens,Monahan,1,20,20
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,,,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
COMM,3300,Intro to Rhetorical Criticism,,Communication Studies,,,,,,,
17104 0,A 3.0 - 3.0,M W,F 09:05 am-09:55 am,0062 0513,,,Athens,,1,25,25
17112 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,0060 0303,,,Athens,,1,25,25
17715 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0046 0502,,,Athens,Nolan,1,25,25
25256 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0030 0118,,,Athens,Nolan,1,25,25
COMM,3310,Case St Public Com,,Communication Studies,,,,,,,
17116 0,A 3.0 - 3.0,M W,F 12:20 pm-01:10 pm,0030 0118,,,Athens,,1,35,35
30255 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0030 0118,,,Athens,Nolan,1,35,35
34556 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0042 0105,,,Athens,Biesecker,1,35,35
COMM,3350,Topics Comm Proc,,Communication Studies,,,,,,,
34561 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,0058 0312,,,Athens,Li,1,40,40
34562 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0058 0112,,,Athens,Guan,1,40,40
COMM,3600S,Small Group Communication,,Communication Studies,,,,,,,
30948 0,A 3.0 - 3.0,M W,F 02:30 pm-03:20 pm,0046 0502,,,Athens,Schaller,1,40,40
COMM,3700,Empirical Research Method,,Communication Studies,,,,,,,
17717 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,0046 0502,,,Athens,,1,40,40
17719 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,0058 0309,,,Athens,Huggins,1,40,40
COMM,4100,Speech Composition,,Communication Studies,,,,,,,
34563 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,0062 0513,,,Athens,Lessl,1,27,27
COMM,4350,Sci Comm,,Communication Studies,,,,,,,
34564 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0060 0201,,,Athens,Condit,1,30,30
COMM,4370,Wom and Pub Discourse,,Communication Studies,,,,,,,
34566 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,0042 0115,,,Athens,Stillion Southard,1,100,100
COMM,4410,Rhetoric and Democracy,,Communication Studies,,,,,,,
34567 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,0046 0502,,,Athens,O'Connell,1,40,40
COMM,4500,Adv Interpersonal Comm,,Communication Studies,,,,,,,
30258 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,0046 0302,,,Athens,Arroyo,1,100,100
COMM,4520,Persuasion,,Communication Studies,,,,,,,
34568 0,A 3.0 - 3.0,M W,F 12:20 pm-01:10 pm,0058 0312,,,Athens,,1,40,40
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,,,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
COMM,8230,Contemp Rhet Th,,Communication Studies,,,,,,,
30268 0,A 3.0 - 3.0,W,05:00 pm-07:45 pm,0046 0606,,,Athens,Stillion Southard,1,14,14
COMM,8340,Meths Rhet Crit,,Communication Studies,,,,,,,
34569 0,A 3.0 - 3.0,T,02:15 pm-05:00 pm,0046 0607,,,Athens,Biesecker,1,14,14
COMM,8500,Interpersonal Comm,,Communication Studies,,,,,,,
17732 0,A 3.0 - 3.0,T,02:00 pm-04:45 pm,0046 0606,,,Athens,Samp,1,14,14
COMM,8610,Sem Hlth Comm,,Communication Studies,,,,,,,
34570 0,A 3.0 - 3.0,W,12:20 pm-03:10 pm,0046 0606,,,Athens,So,1,14,14
CRSS,1020,Water Resources,,Crop and Soil Sciences,,,,,,,
14256 0,P 3.0 - 3.0,M W,F 09:05 am-09:55 am,0081 0205,,,Athens,Radcliffe,1,20,20
CRSS,2010,Crop Science,,Crop and Soil Sciences,,,,,,,
10503 0,A 4.0 - 4.0,M W,F 01:25 pm-02:15 pm,1061 2401,,,Athens,Hill,1,30,30
CRSS,2010L,Crop Science Lab,,Crop and Soil Sciences,,,,,,,
10509 0,A 0.0 - 0.0,T,09:30 am-12:15 pm,1061 3406,,,Athens,Hill,1,15,15
10576 0,A 0.0 - 0.0,T,02:00 pm-04:45 pm,1061 3406,,,Athens,Hill,1,15,15
CRSS,3030,Prin Precision Agr,,Crop and Soil Sciences,,,,,,,
19354 0,A 3.0 - 3.0,M W,11:15 am-12:05 pm,4897 0533,,,Tifton,Vellidis,1,10,10
0,A 3.0 - 3.0,,F 11:15 am-01:10 pm,TBA TBA,,,Tifton,Vellidis,1,10,10
CRSS,3050,Water Quality,,Crop and Soil Sciences,,,,,,,
30874 0,A 4.0 - 4.0,W,01:25 pm-03:25 pm,TBA TBA,,,Tifton,Vellidis,1,6,6
0,A 4.0 - 4.0,M,F 01:25 pm-02:15 pm,4897 0533,,,Tifton,Vellidis,1,6,6
CRSS,3060,Soils and Hydrology,,Crop and Soil Sciences,,,,,,,
10581 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,1061 2401,,,Athens,Miller,1,100,100
14406 0,A 3.0 - 3.0,M W,08:00 am-08:50 am,4897 0533,,,Tifton,Harris,1,25,25
17712 0,A 3.0 - 3.0,M W,F 11:15 am-12:05 pm,4400 0215,,,Griffin,Habteselassie,1,10,10
CRSS,3060L,Soils Hydrol Lab,,Crop and Soil Sciences,,,,,,,
11036 0,A 1.0 - 1.0,,F 09:05 am-11:00 am,4475 0275,,,Griffin,Habteselassie,1,10,10
11038 1W,A 1.0 - 1.0,W,01:25 pm-03:20 pm,1061 1201,,,Athens,Miller,1,20,20
12904 3W,A 1.0 - 1.0,W,03:35 pm-05:30 pm,1061 1201,,,Athens,Miller,1,20,20
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,,,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
CRSS,3060L,Soils Hydrol Lab,,Crop and Soil Sciences,,,,,,,
13009 11R,A 1.0 - 1.0,R,11:00 am-01:45 pm,1061 1201,,,Athens,Miller,1,20,20
13016 2R,A 1.0 - 1.0,R,02:00 pm-04:45 pm,1061 1201,,,Athens,Miller,1,20,20
14408 0,A 1.0 - 1.0,,F 08:00 am-11:00 am,4897 0533,,,Tifton,Harris,1,25,25
CRSS,3270,Turf Management,,Crop and Soil Sciences,,,,,,,
12900 0,A 4.0 - 4.0,W,03:35 pm-04:25 pm,1061 1604,,,Athens,Henry,1,30,30
0,A 4.0 - 4.0,M W,F 02:30 pm-03:20 pm,1061 1102,,,Athens,Henry,1,30,30
CRSS,3910,Crop Science Internship,,Crop and Soil Sciences,,,,,,,
13032 0,A 1.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Vencill,1,20,20
30077 0,A 1.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Hill,1,20,20
CRSS,3920,Ess Internship,,Crop and Soil Sciences,,,,,,,
13035 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Thompson,1,20,20
27624 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Cabrera,1,5,5
30078 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Miller,1,5,5
CRSS,3930,Turfgrass Management Intern,,Crop and Soil Sciences,,,,,,,
13040 0,A 1.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Henry,1,15,15
CRSS,4010,Princ Sust Mgmt,,Crop and Soil Sciences,,,,,,,
30859 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,1061 3203,,,Athens,Franklin,1,25,25
30862 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,4400 0116,,,Tifton,Franklin,1,25,25
CRSS,4050,Nut Energy Eff GIS,,Crop and Soil Sciences,,,,,,,
13042 0,A 4.0 - 4.0,T R,12:30 pm-01:45 pm,1061 3203,,,Athens,Franklin,1,20,20
19323 0,A 4.0 - 4.0,T R,12:30 pm-01:45 pm,4791 0601,,,Tifton,Franklin,1,10,10
CRSS,4060,Adv Topics in Precision Agri,,Crop and Soil Sciences,,,,,,,
34085 0,A 3.0 - 3.0,M,03:35 pm-05:35 pm,4897 0533,,,Tifton,Vellidis,1,15,15
34086 0,A 3.0 - 3.0,W,F 03:35 pm-04:25 pm,4897 0533,,,Tifton,Vellidis,1,15,15
CRSS,4140,Plant Breeding,,Crop and Soil Sciences,,,,,,,
19256 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,1061 1205,,,Athens,McGregor,1,5,5
32468 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,4791 0125,,,Tifton,McGregor,1,5,5
34717 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,4400 0215,,,Griffin,McGregor,1,5,5
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,,,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
CRSS,4340,Weed Science,,Crop and Soil Sciences,,,,,,,
10436 0,A 3.0 - 3.0,M W,F 08:00 am-08:50 am,1061 2401,,,Athens,Vencill,1,40,40
10438 0,A 3.0 - 3.0,M W,F 08:00 am-08:50 am,4791 0201,,,Tifton,Vencill,1,15,15
CRSS,4340L,Weed Sci Lab,,Crop and Soil Sciences,,,,,,,
10484 0,A 1.0 - 1.0,W,03:35 pm-05:30 pm,4791 0201,,,Tifton,Grey,1,10,10
16900 0,A 1.0 - 1.0,W,04:40 pm-05:30 pm,1061 3406,,,Athens,Vencill,1,15,15
CRSS,4430,Plant Physiology,,Crop and Soil Sciences,,,,,,,
19081 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,1061 1205,,,Athens,Malladi,1,45,45
CRSS,4430E,Plant Physiology,,Crop and Soil Sciences,,,,,,,
31209 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,,,Online,Pennisi,1,999,999
CRSS,4500,Intro to Gene Technology,,Crop and Soil Sciences,,,,,,,
13178 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,1061 1501,,,Athens,Bar-Peled,1,112,112
CRSS,4590,Soil Fert Plant Nut,,Crop and Soil Sciences,,,,,,,
13066 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,1061 2401,,,Athens,Cabrera,1,60,60
CRSS,4590L,Soil Fert Nut Lab,,Crop and Soil Sciences,,,,,,,
13193 0,A 1.0 - 1.0,M,03:35 pm-05:30 pm,1061 3406,,,Athens,Cabrera,1,23,23
CRSS,4610,Soil Microbiology,,Crop and Soil Sciences,,,,,,,
13301 0,A 3.0 - 3.0,M W,09:05 am-09:55 am,1061 3203,,,Athens,Habteselassie,1,15,15
13305 0,A 3.0 - 3.0,M W,09:05 am-09:55 am,4400 0116,,,Griffin,Habteselassie,1,15,15
CRSS,4610L,Soil Microbio Lab,,Crop and Soil Sciences,,,,,,,
13468 0,A 0.0 - 0.0,,F 01:25 pm-03:20 pm,1061 3406,,,Athens,Habteselassie,1,15,15
13474 0,A 0.0 - 0.0,,F 01:25 pm-03:20 pm,4475 0275,,,Griffin,Habteselassie,1,15,15
CRSS,4660,Environ Measurement,,Crop and Soil Sciences,,,,,,,
14482 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,4400 0217,,,Griffin,Huang,1,20,20
CRSS,4740,Integrated Pest Mgt,,Crop and Soil Sciences,,,,,,,
13934 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,1061 3203,,,Athens,Forschler,1,5,5
25323 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,4791 0201,,,Tifton,Forschler,1,5,5
31835 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,4400 0111,,,Griffin,Forschler,1,5,5
32223 0,C 3.0 - 3.0,M W,F 10:10 am-11:00 am,4400 0111,,,Griffin,Forschler,1,5,5
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,,,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
CRSS,4800,Agric Biotech,,Crop and Soil Sciences,,,,,,,
27645 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,TBA TBA,,,Tifton,Ozias-Akins,1,10,10
CRSS,4960L,Undergraduate Research in,,Crop and Soil Sciences,,,,,,,
30079 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Vencill,1,10,10
30829 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Henry,1,15,15
CRSS,5330,Conserving Wildlife in Ag Land,,Crop and Soil Sciences,,,,,,,
14762 0,A 3.0 - 3.0,W,F 09:05 am-09:55 am,1040 0306,,,Athens,Martin,1,20,20
CRSS,5330L,Conserv Wildlife Ag Land Lab,,Crop and Soil Sciences,,,,,,,
14765 0,A 0.0 - 0.0,R,12:30 pm-03:15 pm,1046 0516,,,Athens,Martin,1,20,20
CRSS,6010,Princ Sust Mgmt,,Crop and Soil Sciences,,,,,,,
30861 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,1061 3203,,,Athens,Franklin,1,25,25
30863 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,4400 0116,,,Tifton,Franklin,1,25,25
CRSS,6050,Nut Energy Eff GIS,,Crop and Soil Sciences,,,,,,,
19503 0,A 4.0 - 4.0,T R,12:30 pm-01:45 pm,1061 3203,,,Athens,Franklin,1,10,10
19504 0,A 4.0 - 4.0,T R,12:30 pm-01:45 pm,4791 0601,,,Tifton,Franklin,1,10,10
CRSS,6060,Adv Topics in Precision Agri,,Crop and Soil Sciences,,,,,,,
34087 0,A 3.0 - 3.0,M,03:35 pm-05:35 pm,4897 0533,,,Tifton,Vellidis,1,15,15
34088 0,A 3.0 - 3.0,W,F 03:35 pm-04:25 pm,4897 0533,,,Tifton,Vellidis,1,15,15
CRSS,6130,Intern Crop Protect Pest Mgmt,,Crop and Soil Sciences,,,,,,,
27072 0,A 1.0 - 1.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Vencill,1,1,1
32648 0,A 1.0 - 1.0,,12:01 am-11:59 pm,NCRR NCRR,,,Tifton,Grey,1,10,10
CRSS,6140,Plant Breeding,,Crop and Soil Sciences,,,,,,,
19259 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,1061 1205,,,Athens,McGregor,1,5,5
32469 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,4791 0125,,,Tifton,McGregor,1,5,5
34726 0,A 3.0 - 3.0,M W,F 01:25 pm-02:15 pm,4400 0215,,,Griffin,McGregor,1,5,5
CRSS,6340,Weed Science,,Crop and Soil Sciences,,,,,,,
10437 0,A 3.0 - 3.0,M W,F 08:00 am-08:50 am,4791 0201,,,Tifton,Vencill,1,20,20
10439 0,A 3.0 - 3.0,M W,F 08:00 am-08:50 am,1061 2401,,,Athens,Vencill,1,15,15
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,,,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
CRSS,6340L,Weed Sci Lab,,Crop and Soil Sciences,,,,,,,
10480 0,A 1.0 - 1.0,W,04:40 pm-05:30 pm,1061 3406,,,Athens,Vencill,1,10,10
10485 0,A 1.0 - 1.0,W,03:35 pm-05:30 pm,TBA TBA,,,Tifton,Grey,1,10,10
CRSS,6430,Plant Physiology,,Crop and Soil Sciences,,,,,,,
19083 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,1061 1205,,,Athens,Malladi,1,45,45
CRSS,6430E,Plant Physiology,,Crop and Soil Sciences,,,,,,,
31210 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR NCRR,,,Online,Pennisi,1,999,999
CRSS,6500,Intro to Gene Technology,,Crop and Soil Sciences,,,,,,,
13179 0,A 3.0 - 3.0,T R,12:30 pm-01:45 pm,1061 1501,,,Athens,Bar-Peled,1,112,112
CRSS,6590,Soil Fert Plant Nut,,Crop and Soil Sciences,,,,,,,
13218 0,A 3.0 - 3.0,T R,03:30 pm-04:45 pm,1061 2401,,,Athens,Cabrera,1,60,60
CRSS,6590L,Soil Fert Nut Lab,,Crop and Soil Sciences,,,,,,,
13238 0,A 1.0 - 1.0,M,03:35 pm-05:30 pm,1061 3406,,,Athens,Cabrera,1,23,23
CRSS,6610,Soil Microbiology,,Crop and Soil Sciences,,,,,,,
13304 0,A 3.0 - 3.0,M W,09:05 am-09:55 am,1061 3203,,,Athens,Habteselassie,1,10,10
13306 0,A 3.0 - 3.0,M W,09:05 am-09:55 am,4400 0116,,,Griffin,Habteselassie,1,10,10
31596 0,A 3.0 - 3.0,M W,09:05 am-09:55 am,4604 0102,,,Tifton,Habteselassie,1,1,1
CRSS,6610L,Soil Microbio Lab,,Crop and Soil Sciences,,,,,,,
13472 0,A 0.0 - 0.0,,F 01:25 pm-03:20 pm,1061 3406,,,Athens,Habteselassie,1,10,10
13477 0,A 0.0 - 0.0,,F 01:25 pm-03:20 pm,4475 0275,,,Griffin,Habteselassie,1,10,10
31707 0,A 0.0 - 0.0,,F 01:25 pm-03:20 pm,NCRR NCRR,,,Tifton,Habteselassie,1,1,1
CRSS,6660,Environ Measurement,,Crop and Soil Sciences,,,,,,,
15253 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,4400 0217,,,Griffin,Huang,1,20,20
CRSS,6740,Integrated Pest Mgt,,Crop and Soil Sciences,,,,,,,
13956 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,1061 3203,,,Athens,Forschler,1,5,5
25328 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,4791 0201,,,Tifton,Forschler,1,5,5
31836 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,TBA TBA,,,Griffin,Forschler,1,5,5
32224 0,A 3.0 - 3.0,M W,F 10:10 am-11:00 am,4400 0111,,,Griffin,Forschler,1,2,2
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,,,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
CRSS,6800,Agric Biotech,,Crop and Soil Sciences,,,,,,,
27647 0,A 3.0 - 3.0,T R,11:00 am-12:15 pm,TBA TBA,,,Tifton,Ozias-Akins,1,10,10
CRSS,7000,Master's Research,,Crop and Soil Sciences,,,,,,,
13567 0,A 1.0 - 18.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Cabrera,1,10,10
13613 0,A 1.0 - 18.0,,12:01 am-11:59 pm,NCRR NCRR,,,Griffin,Leclerc,1,10,10
13929 0,A 1.0 - 18.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Franklin,1,10,10
14241 0,A 1.0 - 18.0,,12:01 am-11:59 pm,NCRR NCRR,,,Off,Seaman,1,5,5
15271 0,A 1.0 - 18.0,,12:01 am-11:59 pm,NCRR NCRR,,,Griffin,Habteselassie,1,15,15
16114 0,A 1.0 - 18.0,,12:01 am-11:59 pm,NCRR NCRR,,,Tifton,Grey,1,5,5
16118 0,A 1.0 - 18.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Risse,1,5,5
19374 0,A 1.0 - 18.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Radcliffe,1,5,5
21191 0,A 1.0 - 18.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Thompson,1,10,10
21408 0,A 1.0 - 18.0,,12:01 am-11:59 pm,NCRR NCRR,,,Tifton,Vellidis,1,5,5
22821 0,A 1.0 - 18.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Hill,1,5,5
22849 0,A 1.0 - 18.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Thompson,1,10,10
22851 0,A 1.0 - 18.0,,12:01 am-11:59 pm,NCRR NCRR,,,Tifton,Tubbs,1,5,5
23456 0,A 1.0 - 18.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Hancock,1,10,10
32568 0,A 1.0 - 18.0,,12:01 am-11:59 pm,NCRR NCRR,,,Tifton,Schwartz,1,5,5
32766 0,A 1.0 - 18.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Paterson,1,5,5
CRSS,7300,Master's Thesis,,Crop and Soil Sciences,,,,,,,
13631 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Franklin,1,10,10
15273 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR NCRR,,,Tifton,Vellidis,1,10,10
15298 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR NCRR,,,Tifton,Grey,1,15,15
31083 0,A 1.0 - 9.0,,12:01 am-11:59 pm,NCRR NCRR,,,Athens,Thompson,1,5,5
CRSS,7330,Conserving Wildlife in Ag Land,,Crop and Soil Sciences,,,,,,,
14763 0,A 3.0 - 3.0,W,F 09:05 am-09:55 am,1040 0306,,,Athens,Martin,1,20,20
CRSS,7330L,Conserv Wildlife Ag Land Lab,,Crop and Soil Sciences,,,,,,,
14766 0,A 0.0 - 0.0,R,12:30 pm-03:15 pm,1046 0516,,,Athens,Martin,1,20,20
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG,,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
CSCI,1100L,Topics in Computing Lab,,Computer Science,,,,,,,
16444 0,A 0.0 - 0.0,,F 10:10 am-11:00 am,1023,,0307A,Athens,,1,24,24
16447 0,A 0.0 - 0.0,T R,08:00 am-09:15 am,1023,,0201,Athens,,1,30,30
16451 0,A 0.0 - 0.0,,F 02:30 pm-03:20 pm,1023,,0201,Athens,,1,30,30
0,A 0.0 - 0.0,,F 03:35 pm-04:25 pm,1023,,0201,Athens,,1,30,30
16455 0,A 0.0 - 0.0,T R,12:30 pm-01:45 pm,1023,,0307A,Athens,,1,24,24
16458 0,A 0.0 - 0.0,T R,02:00 pm-03:15 pm,1023,,0307A,Athens,,1,24,24
30835 0,A 0.0 - 0.0,,F 12:20 pm-01:10 pm,1023,,0201,Athens,,1,30,30
0,A 0.0 - 0.0,,F 01:25 pm-02:15 pm,1023,,0201,Athens,,1,30,30
32571 0,A 0.0 - 0.0,T R,11:00 am-12:15 pm,1023,,0201,Athens,,1,30,30
CSCI,1210,Comp Modeling and Sci,,Computer Science,,,,,,,
15030 0,A 3.0 - 3.0,M W,F 09:05 am-09:55 am,1023,,0328,Athens,Everett,1,96,96
CSCI,1301,Intro Programming,,Computer Science,,,,,,,
15032 0,A 4.0 - 4.0,T R,09:30 am-10:45 am,1011,,0104,Athens,,1,30,30
15033 0,A 4.0 - 4.0,T R,09:30 am-10:45 am,1011,,0104,Athens,,1,24,24
15035 0,A 4.0 - 4.0,T R,09:30 am-10:45 am,1011,,0104,Athens,,1,30,30
15144 0,A 4.0 - 4.0,T R,09:30 am-10:45 am,1011,,0104,Athens,,1,24,24
15991 0,A 4.0 - 4.0,T R,09:30 am-10:45 am,1011,,0104,Athens,,1,30,30
16242 0,A 4.0 - 4.0,T R,12:30 pm-01:45 pm,1033,,0201,Athens,Barnes,1,24,24
16248 0,A 4.0 - 4.0,T R,12:30 pm-01:45 pm,1033,,0201,Athens,Barnes,1,24,24
16256 0,A 4.0 - 4.0,T R,12:30 pm-01:45 pm,1033,,0201,Athens,Barnes,1,24,24
16260 0,A 4.0 - 4.0,T R,12:30 pm-01:45 pm,1033,,0201,Athens,Barnes,1,24,24
16460 0,A 4.0 - 4.0,T R,02:00 pm-03:15 pm,1033,,0201,Athens,Barnes,1,24,24
16465 0,A 4.0 - 4.0,T R,02:00 pm-03:15 pm,1033,,0201,Athens,Barnes,1,24,24
22854 0,A 4.0 - 4.0,T R,02:00 pm-03:15 pm,1033,,0201,Athens,Barnes,1,24,24
25526 0,A 4.0 - 4.0,T R,12:30 pm-01:45 pm,1033,,0201,Athens,Barnes,1,30,30
CSCI,1301L,Lab Intro Program,,Computer Science,,,,,,,
19917 0,A 0.0 - 0.0,T R,12:30 pm-01:45 pm,1023,,0201,Athens,,1,30,30
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG,,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
CSCI,1301L,Lab Intro Program,,Computer Science,,,,,,,
19921 0,A 0.0 - 0.0,T R,03:30 pm-04:45 pm,1023,,0307A,Athens,,1,24,24
19928 0,A 0.0 - 0.0,T R,02:00 pm-03:15 pm,1023,,0201,Athens,,1,30,30
19935 0,A 0.0 - 0.0,M W,02:30 pm-03:20 pm,1023,,0307A,Athens,,1,24,24
19944 0,A 0.0 - 0.0,M W,02:30 pm-03:20 pm,1023,,0201,Athens,,1,30,30
